9780316015844;The Book Thief;Markus Zusak;11.99;2005-03-14;HistoricalFiction;Paperback;False
9780062564047;Circe;Madeline Miller;14.49;2018-04-10;Fantasy;Hardcover;True
9781250080400;The Nightingale;Kristin Hannah;13.79;2015-02-03;HistoricalFiction;Paperback;False
9780735219090;The Silent Patient;Alex Michaelides;12.79;2019-02-05;Thriller;Hardcover;False
9780525478812;Where the Wild Things Are;Maurice Sendak;8.99;1963-04-19;Childrens;Hardcover;False
9780008144227;The Alchemist;Paulo Coelho;10.29;1988-04-12;Fiction;Paperback;True
0399590528;Educated;Tara Westover;15.49;2018-02-20;Biography;Hardcover;False
9780767908184;The Devil in the White City;Erik Larson;13.99;2003-02-10;History;Paperback;True
1476764832;The Time Traveler's Wife;Audrey Niffenegger;9.79;2003-09-09;Romance;Paperback;False
9780385341004;Ready Player One;Ernest Cline;11.49;2011-08-16;SciFi;Hardcover;False
0439023521;The Hunger Games;Suzanne Collins;12.99;2008-09-14;Dystopian;Kindle;True
9781400064168;The Girl with the Dragon Tattoo;Stieg Larsson;11.99;2005-08-16;Mystery;Paperback;False
9780061122415;Harry Potter and the Sorcerer's Stone;J.K. Rowling;14.99;1997-06-26;Fantasy;Hardcover;False
0307588378;Gone Girl;Gillian Flynn;12.29;2012-05-24;Thriller;Hardcover;True
9780671027346;The Catcher in the Rye;J.D. Salinger;9.99;1951-07-16;Fiction;Paperback;False
0345538986;Jurassic Park;Michael Crichton;11.99;1990-11-20;SciFi;Hardcover;True
9780553380163;Dune;Frank Herbert;15.79;1965-06-01;SciFi;Hardcover;False
9780451524935;1984;George Orwell;9.49;1949-06-08;SciFi;Paperback;False
9780061120084;1984;George Orwell;8.99;1949-06-08;SciFi;Kindle;False
9780446310789;To Kill a Mockingbird;Harper Lee;8.49;1960-07-11;Fiction;Paperback;True
9780452284234;Freakonomics;Steven D. Levitt;8.99;2005-04-12;NonFiction;Kindle;True
155404295X;The Book Of Days;Sara Reinke;5.99;2005-10-09;Fantasy;Kindle;False
